SIMULATION NAME,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,Unconstrained baseline,Unconstrained baseline,Unconstrained baseline,Unconstrained baseline,Unconstrained baseline,Unconstrained baseline,Unconstrained baseline,Unconstrained baseline,Unconstrained baseline
PROJECTION,All exposed,Daily exposed,Daily cases,Daily recovered,Daily deaths,All cases,All recovered,All deaths,Active cases,All exposed,Daily exposed,Daily cases,Daily recovered,Daily deaths,All cases,All recovered,All deaths,Active cases
Date,,,,,,,,,,,,,,,,,,
2020-07-02,16749266.32729392,137662.21183329262,7217.84105048989,5351.922095139044,2662.805851850321,663653.4650354767,398691.7607242683,193791.60753633498,71170.09677487347,62295549.57521157,4.970560118556023,1.544437677288567,4.964081908694374,2.6599971698252194,2740996.483090306,1836444.9669748445,904516.429080654,35.08703480765689
2020-07-03,16884487.141541522,135220.8142476026,7119.112837608203,5301.270185139414,2638.812172485177,670772.5778730849,403993.0309094077,196430.41970882015,70349.12725485707,62295553.806090444,4.230878874659538,1.3163619677529885,4.230904919206625,2.267140657354092,2740997.799452274,1836449.1978797636,904518.6962213115,29.905351199093275
2020-07-04,17017382.837582935,132895.69604141265,7018.623509644961,5248.550765581509,2613.744505545451,677791.2013827299,409241.5816749892,199044.1642143656,69505.45549337514,62295557.40585873,3.599768288433552,1.1219680839713697,3.6060386957320056,1.9323169731581848,2740998.921420358,1836452.8039184592,904520.6285382846,25.488963614334352
2020-07-05,17147816.752290916,130433.91470798105,6916.531344996918,5193.861717511805,2587.6541514217797,684707.7327277268,414435.443392501,201631.81836578736,68640.47096943847,62295560.47642544,3.0705667063593864,0.9562812711930024,3.0734753278660087,1.6469492381776574,2740999.8777016294,1836455.877393787,904522.2754875227,21.724820319679566
2020-07-06,17275525.596338924,127708.84404800832,6813.010119477504,5137.300664000448,2560.5940037630467,691520.7428472043,419572.7440565014,204192.4123695504,67755.58642115249,62295563.09712415,2.6206987127661705,0.8150622542255727,2.6195750283374895,1.4037293240364779,2741000.6927638836,1836458.4969688153,904523.6792168467,18.51657822157722
2020-07-07,17400720.778865602,125195.18252667785,6708.219104348431,5078.965859601153,2532.6144503916557,698228.9619515528,424651.7099161026,206725.02681994205,66852.22521550814,62295565.33320751,2.23608335852623,0.6946992076319136,2.232715121558014,1.196430382108808,2741001.3874630914,1836460.7296839368,904524.8756472288,15.782131925807334
2020-07-08,17523586.29802915,122865.51916354895,6602.321575989352,5018.956654927791,2503.7625742757273,704831.2835275421,429670.6665710304,209228.78939421778,65931.82756229397,62295567.2359618,1.9027542918920517,0.5921131070295792,1.9029912911141476,1.0197464332359458,2741001.9795761984,1836462.632675228,904525.895393662,13.451507308403961
2020-07-09,17644097.896613974,120511.59858482331,6495.496350848364,4957.373379655632,2474.084805516599,711326.7798783905,434628.03995068604,211702.87419973436,64995.865727970086,62295568.854468144,1.6185063421726227,0.5046781204297237,1.6219632445815035,0.8691555726535152,2741002.4842543188,1836464.2546384726,904526.7645492346,11.465066611533985
2020-07-10,17762030.585403424,117932.68878944963,6387.907050380793,4894.31712369298,2443.629506098751,717714.6869287713,439522.35707437905,214146.5037058331,64045.826148559165,62295570.23518071,1.3807125687599182,0.430155824834774,1.3824381151522407,0.7408038080525168,2741002.9144101436,1836465.6370765876,904527.5053530427,9.771980513236485
2020-07-11,17877251.2823143,115220.69691087678,6279.683520538667,4829.889737661473,2412.447059693628,723994.3704493099,444352.2468120405,216558.95076552674,63083.17287174269,62295571.414392985,1.1792122721672058,0.36663916374552585,1.178285958365824,0.6314064481311648,2741003.2810493074,1836466.8153625461,904528.1367594908,8.32892727048602
2020-07-12,17990124.722079694,112873.43976539373,6170.953494454137,4764.1940644893675,2380.588442847366,730165.3239437641,449116.4408765299,218939.5392083741,62109.343858860084,62295572.4214199,1.007026918232441,0.3125031086628185,1.0042825671173217,0.5381641253818554,2741003.593552416,1836467.8196451133,904528.6749236162,7.098983686650172
2020-07-13,18100840.91841439,110716.1963346973,6061.873559502288,4697.334236811234,2348.1043701412536,736227.1975032664,453813.7751133411,221287.64357851536,61125.778811409924,62295573.27859784,0.8571779355406761,0.2663619426639937,0.8559755428098466,0.4586911065894106,2741003.8599143587,1836468.6756206562,904529.1336147229,6.050678979605436
2020-07-14,18209310.45726407,108469.53884967789,5952.599038845688,4629.4157164368,2315.0455861120836,742179.7965421121,458443.1908297779,223602.68916462743,60133.91654770679,62295574.00554639,0.7269485518336296,0.2270338888629354,0.7295701744085701,0.3909541154546884,2741004.0869482476,1836469.4051908306,904529.5245688383,5.157188578741625
